activity_metric,chemical_feature,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,n_samples,correlation_strength,correlation_direction,pearson_corrected_p,spearman_corrected_p
broad_spectrum_index,oxygen_count,-0.006440499884605655,0.7332291668431803,0.012329693127320187,0.5140728103260992,2803,very_weak,negative,,
broad_spectrum_index,sulfur_count,0.1282442200056083,9.438927824581745e-12,0.1627561253719312,4.287655815619201e-18,2803,very_weak,positive,,
broad_spectrum_index,halogen_count,-0.011980159009849087,0.5260744381540011,-0.04389893593791362,0.02011257067540818,2803,very_weak,negative,,
broad_spectrum_index,aromatic_carbocycles,0.26871976002508535,1.4456423237706168e-47,0.3525969700902239,7.611078318165459e-83,2803,very_weak,positive,,
broad_spectrum_index,aromatic_heterocycles,0.09584575817191565,3.698775981603372e-07,0.1419611159292126,4.3253648390508386e-14,2803,very_weak,positive,,
broad_spectrum_index,hydroxyl_groups,-0.052629502602732706,0.005318670238973153,-0.06280303590121676,0.0008784772514409658,2803,very_weak,negative,,
broad_spectrum_index,carboxyl_groups,-0.017847507137895416,0.3448831164810121,-0.028436126229985568,0.1322888405546492,2803,very_weak,negative,,
broad_spectrum_index,ester_groups,0.02123635218037429,0.2610345731534526,0.013271945331005687,0.48244285384760777,2803,very_weak,positive,,
broad_spectrum_index,amide_groups,-0.035907370098291896,0.05732532696412287,-0.046177954065231765,0.01448400418821471,2803,very_weak,negative,,
broad_spectrum_index,amine_groups,0.32926434403583765,7.283924554921852e-72,0.45290038180276104,7.851348323097189e-142,2803,weak,positive,,
broad_spectrum_index,halogen_substituents,-0.011980159009849087,0.5260744381540011,-0.04389893593791362,0.02011257067540818,2803,very_weak,negative,,
broad_spectrum_index,lipinski_violations,0.15782315232781619,4.2901098670032816e-17,0.21151410544875582,1.0258499177474828e-29,2803,very_weak,positive,,
broad_spectrum_index,membrane_permeability_score,-0.038415649120017485,0.04198213017833573,-0.06005604333073841,0.0014675636402115327,2803,very_weak,negative,,
broad_spectrum_index,flexibility_index,0.18190113777948586,2.8080349980163693e-22,0.2758476708689481,3.9699794207807014e-50,2803,very_weak,positive,,
broad_spectrum_index,heteroatom_ratio,-0.0014594621762896373,0.9384370633369303,0.04464301015896999,0.01809465883595179,2803,very_weak,negative,,
broad_spectrum_index,aromatic_fraction,0.1896256751401593,4.195065236294356e-24,0.1710977388747109,7.389382466509401e-20,2803,very_weak,positive,,
broad_spectrum_index,structural_diversity_index,0.29358590085038494,7.687663078321893e-57,0.41870537381195966,2.0781902348820505e-119,2803,very_weak,positive,,
total_compounds_all_pathogens,rank,-0.16122554607191159,8.829886855395767e-18,-0.8776400591100447,0.0,2803,very_weak,negative,,
total_compounds_all_pathogens,pathogen_count,,,,,2803,very_weak,negative,,
total_compounds_all_pathogens,total_tp_count,0.998593375836946,0.0,0.9961408890298991,0.0,2803,strong,positive,,
total_compounds_all_pathogens,total_tn_count,0.9113127758991747,0.0,0.6524176179057859,0.0,2803,strong,positive,,
total_compounds_all_pathogens,total_fp_count,,,,,2803,very_weak,negative,,
total_compounds_all_pathogens,total_fn_count,,,,,2803,very_weak,negative,,
total_compounds_all_pathogens,overall_avg_attribution,-0.10506914259862593,2.4657705182633277e-08,-0.23705751906574404,4.19405744212862e-37,2803,very_weak,negative,,
total_compounds_all_pathogens,overall_max_attribution,-0.05688235116433829,0.002589866622600924,0.11757949994535394,4.266653902596679e-10,2803,very_weak,negative,,
total_compounds_all_pathogens,SA_tp_count,0.9971291528216844,0.0,0.9612035853011508,0.0,2803,strong,positive,,
total_compounds_all_pathogens,SA_tn_count,0.9010724262279974,0.0,0.5960392732213735,2.774511279915789e-269,2803,strong,positive,,
total_compounds_all_pathogens,SA_total_count,0.9979150231988824,0.0,0.9637040249888293,0.0,2803,strong,positive,,
total_compounds_all_pathogens,EC_tp_count,0.9819607186251635,0.0,0.9128976236706288,0.0,2803,strong,positive,,
total_compounds_all_pathogens,EC_tn_count,0.9216533286156021,0.0,0.6173650959067358,3.258054853492168e-294,2803,strong,positive,,
total_compounds_all_pathogens,EC_total_count,0.9901460393691048,0.0,0.9454971853404356,0.0,2803,strong,positive,,
total_compounds_all_pathogens,CA_tp_count,0.9563591476339328,0.0,0.8124583230917173,0.0,2803,strong,positive,,
total_compounds_all_pathogens,CA_tn_count,0.8818334934496841,0.0,0.5666751398180808,7.080445239816773e-238,2803,strong,positive,,
total_compounds_all_pathogens,CA_total_count,0.9611114727889479,0.0,0.8495698265528782,0.0,2803,strong,positive,,
total_compounds_all_pathogens,molecular_weight,-0.16280332109073695,4.192734526802654e-18,-0.5110822180498055,2.1730901605689966e-186,2803,very_weak,negative,,
total_compounds_all_pathogens,logp,-0.11220303580743662,2.5758021300859953e-09,-0.30186386059846326,3.8381544084256253e-60,2803,very_weak,negative,,
total_compounds_all_pathogens,tpsa,-0.08140546497153395,1.5951627982186363e-05,-0.3133820546283613,6.412561956014531e-65,2803,very_weak,negative,,
total_compounds_all_pathogens,num_hbd,-0.05131680139616479,0.006578454364094244,-0.1356127531011713,5.598360876903968e-13,2803,very_weak,negative,,
total_compounds_all_pathogens,num_hba,-0.12089620221582117,1.3506049493154096e-10,-0.3996919065029103,5.095908427065807e-108,2803,very_weak,negative,,
total_compounds_all_pathogens,num_rotatable_bonds,-0.10963549415846635,5.9047732497854015e-09,-0.41066952076653873,1.6662642449627577e-114,2803,very_weak,negative,,
total_compounds_all_pathogens,num_atoms,-0.15792555558137078,4.0928446887239155e-17,-0.4956310885435034,1.055136994879025e-173,2803,very_weak,negative,,
total_compounds_all_pathogens,num_heavy_atoms,-0.15792555558137078,4.0928446887239155e-17,-0.4956310885435034,1.055136994879025e-173,2803,very_weak,negative,,
total_compounds_all_pathogens,num_rings,-0.13399000690101565,1.0571207941117561e-12,-0.42153148616739766,3.638404083290245e-121,2803,very_weak,negative,,
total_compounds_all_pathogens,num_aromatic_rings,-0.10903443081485092,7.15113781933646e-09,-0.3597963338025683,1.9947117367208274e-86,2803,very_weak,negative,,
total_compounds_all_pathogens,num_aliphatic_rings,-0.06521801330353622,0.0005502937082107053,-0.1483837625875048,2.8758235895091704e-15,2803,very_weak,negative,,
total_compounds_all_pathogens,num_heteroatoms,-0.11687079149121607,5.43326781821821e-10,-0.41666381747882875,3.7698259618596775e-118,2803,very_weak,negative,,
total_compounds_all_pathogens,formal_charge,-0.01773096392244582,0.34804301669438215,-0.01484911862581281,0.43195244997345605,2803,very_weak,negative,,
total_compounds_all_pathogens,fraction_csp3,0.012261153501616174,0.5164149219544094,0.0810899972897808,1.720802641892686e-05,2803,very_weak,positive,,
total_compounds_all_pathogens,bertz_complexity,-0.12788357646575838,1.0794856163856052e-11,-0.47603591242243276,1.5925790126912358e-158,2803,very_weak,negative,,
total_compounds_all_pathogens,balaban_j,-0.031198776871330366,0.09865009101243473,0.32099092004497587,3.4070715389140466e-68,2803,very_weak,negative,,
total_compounds_all_pathogens,carbon_count,-0.14568057558563066,9.134290622607544e-15,-0.436120670029395,1.6600482696905333e-130,2803,very_weak,negative,,
total_compounds_all_pathogens,nitrogen_count,-0.1040602329425245,3.354719202694185e-08,-0.3212772208928418,2.5544305163603974e-68,2803,very_weak,negative,,
total_compounds_all_pathogens,oxygen_count,-0.019123781369940557,0.3114814942723945,-0.1583196106408238,3.413751020455367e-17,2803,very_weak,negative,,
total_compounds_all_pathogens,sulfur_count,-0.0410433291288753,0.029786464285325578,-0.09844463568192345,1.7666202324879208e-07,2803,very_weak,negative,,
total_compounds_all_pathogens,halogen_count,0.0026393028495187406,0.8889195510178051,-0.024344239349864058,0.1975782219298268,2803,very_weak,positive,,
total_compounds_all_pathogens,aromatic_carbocycles,-0.09781331964212173,2.117645596884823e-07,-0.31198959399286136,2.4888486139571452e-64,2803,very_weak,negative,,
total_compounds_all_pathogens,aromatic_heterocycles,-0.026547576327162065,0.1599800193735798,-0.10120856569853379,7.885698516939321e-08,2803,very_weak,negative,,
total_compounds_all_pathogens,hydroxyl_groups,0.00039880931907520633,0.9831619835533597,0.01806063815463892,0.33915184849543745,2803,very_weak,positive,,
total_compounds_all_pathogens,carboxyl_groups,0.024642679729330673,0.19213727089950924,0.03541750526688936,0.060810093796231264,2803,very_weak,positive,,
total_compounds_all_pathogens,ester_groups,-0.007924919367629919,0.6749301485919066,0.0006291102726903268,0.9734414444116277,2803,very_weak,negative,,
total_compounds_all_pathogens,amide_groups,-0.014531887347401273,0.44185504180905155,-0.0822502525093857,1.3003168559464232e-05,2803,very_weak,negative,,
total_compounds_all_pathogens,amine_groups,-0.10506229642136947,2.4709509698107915e-08,-0.32163444728502066,1.7824922363367157e-68,2803,very_weak,negative,,
total_compounds_all_pathogens,halogen_substituents,0.0026393028495187406,0.8889195510178051,-0.024344239349864058,0.1975782219298268,2803,very_weak,positive,,
total_compounds_all_pathogens,lipinski_violations,-0.03788802372911445,0.04488347026019256,-0.21475705893291364,1.329713106710893e-30,2803,very_weak,negative,,
total_compounds_all_pathogens,membrane_permeability_score,-0.007195497398404931,0.7033599263457604,0.034037990493686936,0.07157623894719051,2803,very_weak,negative,,
total_compounds_all_pathogens,flexibility_index,-0.10744548953841927,1.1806084078533735e-08,-0.26638579996042167,9.594246328277548e-47,2803,very_weak,negative,,
total_compounds_all_pathogens,heteroatom_ratio,0.119774138187498,2.000153581712373e-10,-0.018983059719818757,0.31505610816786783,2803,very_weak,positive,,
total_compounds_all_pathogens,aromatic_fraction,-0.08561231474839416,5.654376788357223e-06,-0.163441512305945,3.0955791651632405e-18,2803,very_weak,negative,,
total_compounds_all_pathogens,structural_diversity_index,-0.14085532457194844,6.81402299751205e-14,-0.3617515466505741,2.0467403103616907e-87,2803,very_weak,negative,,
SA_activity_rate,rank,0.2120693729147775,7.24748845075494e-30,0.5091616902226008,8.906320193153899e-185,2803,very_weak,positive,,
SA_activity_rate,pathogen_count,,,,,2803,very_weak,negative,,
SA_activity_rate,total_tp_count,-0.05423588402889943,0.00407542907335603,-0.4884728581817506,4.821246567834728e-168,2803,very_weak,negative,,
SA_activity_rate,total_tn_count,-0.09058939682287247,1.5564505767916977e-06,-0.8134924973772852,0.0,2803,very_weak,negative,,
SA_activity_rate,total_fp_count,,,,,2803,very_weak,negative,,
SA_activity_rate,total_fn_count,,,,,2803,very_weak,negative,,
SA_activity_rate,overall_avg_attribution,0.18532737060122548,4.451205486926415e-23,0.32276665566228124,5.67995463929013e-69,2803,very_weak,positive,,
